"","X","Day","Month","Year","count","mdy","wd"
"1",1,1,1,2010,3442,2010-01-01,6
"2",2,1,1,2011,2718,2011-01-01,7
"3",3,1,1,2012,3319,2012-01-01,1
"4",4,1,1,2013,6605,2013-01-01,3
"5",5,1,1,2014,5779,2014-01-01,4
"6",6,1,1,2015,4720,2015-01-01,5
"7",7,1,1,2016,3832,2016-01-01,6
"8",8,1,2,2010,6005,2010-02-01,2
"9",9,1,2,2011,6174,2011-02-01,3
"10",10,1,2,2012,5354,2012-02-01,4
"11",11,1,2,2013,3952,2013-02-01,6
"12",12,1,2,2014,2820,2014-02-01,7
"13",13,1,2,2015,6629,2015-02-01,1
"14",14,1,2,2016,6093,2016-02-01,2
"15",15,1,3,2010,6217,2010-03-01,2
"16",16,1,3,2011,5951,2011-03-01,3
"17",17,1,3,2012,4203,2012-03-01,5
"18",18,1,3,2013,2929,2013-03-01,6
"19",19,1,3,2014,3393,2014-03-01,7
"20",20,1,3,2015,6772,2015-03-01,1
"21",21,1,3,2016,6355,2016-03-01,3
"22",22,1,4,2010,4144,2010-04-01,5
"23",23,1,4,2011,2835,2011-04-01,6
"24",24,1,4,2012,4630,2012-04-01,1
"25",25,1,4,2013,5099,2013-04-01,2
"26",26,1,4,2014,5481,2014-04-01,3
"27",27,1,4,2015,5897,2015-04-01,4
"28",28,1,4,2016,5217,2016-04-01,6
"29",29,1,5,2010,2528,2010-05-01,7
"30",30,1,5,2011,4754,2011-05-01,1
"31",31,1,5,2012,4428,2012-05-01,3
"32",32,1,5,2013,4223,2013-05-01,4
"33",33,1,5,2014,4991,2014-05-01,5
"34",34,1,5,2015,3421,2015-05-01,6
"35",35,1,6,2010,5170,2010-06-01,3
"36",36,1,6,2011,5135,2011-06-01,4
"37",37,1,6,2012,2596,2012-06-01,6
"38",38,1,6,2013,2773,2013-06-01,7
"39",39,1,6,2014,5630,2014-06-01,1
"40",40,1,6,2015,6191,2015-06-01,2
"41",41,1,7,2010,4212,2010-07-01,5
"42",42,1,7,2011,2361,2011-07-01,6
"43",43,1,7,2012,5882,2012-07-01,1
"44",44,1,7,2013,4992,2013-07-01,2
"45",45,1,7,2014,6073,2014-07-01,3
"46",46,1,7,2015,5598,2015-07-01,4
"47",47,1,8,2010,5552,2010-08-01,1
"48",48,1,8,2011,5488,2011-08-01,2
"49",49,1,8,2012,4948,2012-08-01,4
"50",50,1,8,2013,4493,2013-08-01,5
"51",51,1,8,2014,3000,2014-08-01,6
"52",52,1,8,2015,3802,2015-08-01,7
"53",53,1,9,2010,5031,2010-09-01,4
"54",54,1,9,2011,4950,2011-09-01,5
"55",55,1,9,2012,2020,2012-09-01,7
"56",56,1,9,2013,2382,2013-09-01,1
"57",57,1,9,2014,5812,2014-09-01,2
"58",58,1,9,2015,5982,2015-09-01,3
"59",59,1,10,2010,3037,2010-10-01,6
