"","Unique.Key","Created.Date","Closed.Date","Agency","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","Created.Date2","Day","Month","Year"
"1",29663437,"01/08/2015 11:59:53 PM","","DOHMH","Non-Residential Heat","Inadequate or No Heat","10003","MANHATTAN",40.7266367206793,-73.9916982369797,2015-01-08 23:59:53,"08","01","2015"
"2",29663422,"01/08/2015 11:59:20 PM","","DOHMH","Non-Residential Heat","Inadequate or No Heat","10467","BRONX",40.8660444105625,-73.8691529516171,2015-01-08 23:59:20,"08","01","2015"
"3",29664460,"01/08/2015 11:58:47 PM","01/09/2015 02:08:12 AM","NYPD","Noise - Commercial","Loud Music/Party","10034","MANHATTAN",40.8661834400147,-73.9189304294535,2015-01-08 23:58:47,"08","01","2015"
"4",29670828,"01/08/2015 11:58:45 PM","01/09/2015 02:08:12 AM","NYPD","Noise - Commercial","Loud Music/Party","10034","MANHATTAN",40.8661834400147,-73.9189304294535,2015-01-08 23:58:45,"08","01","2015"
"5",29667693,"01/08/2015 11:58:44 PM","01/09/2015 02:08:11 AM","NYPD","Noise - Commercial","Loud Music/Party","10034","MANHATTAN",40.8661834400147,-73.9189304294535,2015-01-08 23:58:44,"08","01","2015"
"6",29674145,"01/08/2015 11:58:00 PM","01/09/2015 01:00:00 AM","DEP","Water System","Leak (Use Comments) (WA2)","11217","BROOKLYN",40.6817552081901,-73.9776893803976,2015-01-08 23:58:00,"08","01","2015"
"7",29664329,"01/08/2015 11:58:00 PM","01/10/2015 12:15:00 PM","DOT","Traffic Signal Condition","Pedestrian Signal","10304","STATEN ISLAND",40.6266639349666,-74.0756450777452,2015-01-08 23:58:00,"08","01","2015"
"8",29664406,"01/08/2015 11:57:27 PM","01/09/2015 06:54:59 AM","NYPD","Derelict Vehicle","With License Plate","11691","QUEENS",40.5986285868054,-73.764279787979,2015-01-08 23:57:27,"08","01","2015"
"9",29667639,"01/08/2015 11:57:00 PM","01/10/2015 11:50:00 AM","DOT","Traffic Signal Condition","Pedestrian Signal","10301","STATEN ISLAND",40.6319694084902,-74.0759573275001,2015-01-08 23:57:00,"08","01","2015"
"10",29672172,"01/08/2015 11:56:26 PM","01/09/2015 06:55:00 AM","NYPD","Derelict Vehicle","With License Plate","11691","QUEENS",40.5986285868054,-73.764279787979,2015-01-08 23:56:26,"08","01","2015"
"11",29674388,"01/08/2015 11:56:00 PM","01/10/2015 11:20:00 AM","DOT","Traffic Signal Condition","LED Lense","10305","STATEN ISLAND",40.6124608692493,-74.0693295681763,2015-01-08 23:56:00,"08","01","2015"
"12",29668217,"01/08/2015 11:54:03 PM","01/09/2015 03:43:53 AM","NYPD","Blocked Driveway","Partial Access","11235","BROOKLYN",40.5861702347765,-73.9440188565197,2015-01-08 23:54:03,"08","01","2015"
"13",29672395,"01/08/2015 11:51:17 PM","02/20/2015 10:01:54 AM","TLC","Taxi Complaint","Driver Complaint","11221","BROOKLYN",40.6884568919375,-73.9375686941787,2015-01-08 23:51:17,"08","01","2015"
"14",29669806,"01/08/2015 11:51:08 PM","01/09/2015 08:04:55 AM","NYPD","Blocked Driveway","No Access","10468","BRONX",40.8668386937043,-73.9036975210597,2015-01-08 23:51:08,"08","01","2015"
"15",29669209,"01/08/2015 11:50:34 PM","01/09/2015 01:17:10 AM","NYPD","Noise - Commercial","Loud Music/Party","11372","QUEENS",40.7464285426447,-73.8953399795265,2015-01-08 23:50:34,"08","01","2015"
"16",29667662,"01/08/2015 11:49:45 PM","01/09/2015 07:05:51 AM","NYPD","Noise - Commercial","Loud Music/Party","10034","MANHATTAN",40.8645527526327,-73.9266295553903,2015-01-08 23:49:45,"08","01","2015"
"17",29669370,"01/08/2015 11:49:17 PM","01/09/2015 03:27:33 AM","NYPD","Derelict Vehicle","With License Plate","11429","QUEENS",40.7072420033374,-73.7471238287552,2015-01-08 23:49:17,"08","01","2015"
"18",29682831,"01/08/2015 11:49:00 PM","01/13/2015 12:00:00 PM","DSNY","Recycling Enforcement","ER1 Resident Recyc. (Owner/Manager","11373","QUEENS",40.7407356558861,-73.8836171689256,2015-01-08 23:49:00,"08","01","2015"
"19",29667819,"01/08/2015 11:48:18 PM","01/09/2015 01:08:40 AM","NYPD","Noise - Street/Sidewalk","Loud Music/Party","11238","BROOKLYN",40.6809996276493,-73.9638592241597,2015-01-08 23:48:18,"08","01","2015"
"20",29664418,"01/08/2015 11:48:10 PM","01/09/2015 12:54:38 AM","NYPD","Animal Abuse","Neglected","10025","MANHATTAN",40.8011103448271,-73.9652171130347,2015-01-08 23:48:10,"08","01","2015"
"21",29676985,"01/08/2015 11:48:00 PM","01/13/2015 12:00:00 PM","DSNY","Recycling Enforcement","ER1 Resident Recyc. (Owner/Manager","11373","QUEENS",40.7406371653985,-73.8839349025937,2015-01-08 23:48:00,"08","01","2015"
"22",29681822,"01/08/2015 11:47:00 PM","01/12/2015 12:00:00 PM","DSNY","Recycling Enforcement","ER1 Resident Recyc. (Owner/Manager","11373","QUEENS",40.7407192384358,-73.8836677188336,2015-01-08 23:47:00,"08","01","2015"
"23",29671401,"01/08/2015 11:47:00 PM","01/20/2015 07:19:00 AM","DEP","Water Quality","Taste/Odor, Chlorine (QA1)","11691","QUEENS",40.6081978591222,-73.7466310305653,2015-01-08 23:47:00,"08","01","2015"
"24",29681891,"01/08/2015 11:47:00 PM","01/13/2015 12:00:00 PM","DSNY","Recycling Enforcement","ER1 Resident Recyc. (Owner/Manager","11373","QUEENS",40.7407876455496,-73.8834582969383,2015-01-08 23:47:00,"08","01","2015"
"25",29672873,"01/08/2015 11:46:35 PM","01/09/2015 12:54:39 AM","NYPD","Blocked Driveway","No Access","10451","BRONX",40.8238242741856,-73.9149894893986,2015-01-08 23:46:35,"08","01","2015"
"26",29681666,"01/08/2015 11:46:00 PM","01/12/2015 12:00:00 PM","DSNY","Recycling Enforcement","ER1 Resident Recyc. (Owner/Manager","11373","QUEENS",40.7407794916128,-73.8835377017773,2015-01-08 23:46:00,"08","01","2015"
"27",29677056,"01/08/2015 11:45:00 PM","01/12/2015 12:00:00 PM","DSNY","Recycling Enforcement","ER1 Resident Recyc. (Owner/Manager","11373","QUEENS",40.7408533587376,-73.8832994006649,2015-01-08 23:45:00,"08","01","2015"
"28",29680635,"01/08/2015 11:45:00 PM","01/12/2015 12:00:00 PM","DSNY","Recycling Enforcement","ER1 Resident Recyc. (Owner/Manager","11373","QUEENS",40.740801376597,-73.8834654902477,2015-01-08 23:45:00,"08","01","2015"
"29",29674686,"01/08/2015 11:44:55 PM","","CHALL","Opinion for the Mayor","HOUSING","","Unspecified",NA,NA,2015-01-08 23:44:55,"08","01","2015"
"30",29677077,"01/08/2015 11:44:00 PM","01/12/2015 12:00:00 PM","DSNY","Recycling Enforcement","ER1 Resident Recyc. (Owner/Manager","11373","QUEENS",40.7407685491038,-73.8835738075244,2015-01-08 23:44:00,"08","01","2015"
"31",29669355,"01/08/2015 11:43:00 PM","01/12/2015 09:01:00 AM","DEP","Lead","Lead Kit Request (Residential) (L10)","10469","BRONX",40.8636046292387,-73.8491288298292,2015-01-08 23:43:00,"08","01","2015"
"32",29672756,"01/08/2015 11:42:30 PM","01/09/2015 01:38:04 AM","NYPD","Blocked Driveway","No Access","11232","BROOKLYN",40.6441456275797,-73.9969550990662,2015-01-08 23:42:30,"08","01","2015"
"33",29672233,"01/08/2015 11:42:00 PM","02/09/2015 01:45:00 PM","DEP","Water System","Leak (Use Comments) (WA2)","11420","QUEENS",40.6708670465091,-73.8075282668367,2015-01-08 23:42:00,"08","01","2015"
"34",29672467,"01/08/2015 11:40:00 PM","01/09/2015 01:35:00 PM","DOT","Traffic Signal Condition","Post","11433","QUEENS",40.6959953456565,-73.7827709762218,2015-01-08 23:40:00,"08","01","2015"
"35",29662881,"01/08/2015 11:40:00 PM","01/12/2015 09:45:00 PM","DEP","Noise","Noise: Construction Before/After Hours (NM1)","10003","MANHATTAN",40.7317829783541,-73.9897239256512,2015-01-08 23:40:00,"08","01","2015"
"36",29666226,"01/08/2015 11:40:00 PM","01/28/2015 02:30:00 PM","DEP","Water System","Leak (Use Comments) (WA2)","10469","BRONX",40.877945247296,-73.8552219777322,2015-01-08 23:40:00,"08","01","2015"
"37",29673719,"01/08/2015 11:39:49 PM","01/09/2015 06:54:47 AM","NYPD","Blocked Driveway","No Access","11368","QUEENS",40.7528674970283,-73.8546600688075,2015-01-08 23:39:49,"08","01","2015"
"38",29663431,"01/08/2015 11:39:21 PM","01/09/2015 12:34:44 AM","NYPD","Blocked Driveway","Partial Access","10314","STATEN ISLAND",40.5876028041385,-74.1628561752838,2015-01-08 23:39:21,"08","01","2015"
"39",29668254,"01/08/2015 11:39:00 PM","01/09/2015 12:50:00 PM","DOT","Traffic Signal Condition","Ped Lamp","","MANHATTAN",NA,NA,2015-01-08 23:39:00,"08","01","2015"
"40",29669946,"01/08/2015 11:35:21 PM","01/09/2015 05:41:27 AM","NYPD","Animal Abuse","No Shelter","11385","QUEENS",40.7015438999173,-73.8789610224915,2015-01-08 23:35:21,"08","01","2015"
"41",29671563,"01/08/2015 11:35:09 PM","01/09/2015 10:20:57 AM","DOT","Street Condition","Defective Hardware","10003","MANHATTAN",40.7296170818614,-73.9869171929198,2015-01-08 23:35:09,"08","01","2015"
"42",29674443,"01/08/2015 11:35:00 PM","01/09/2015 12:25:00 PM","DOT","Traffic Signal Condition","Ped Lamp","10019","MANHATTAN",40.7635935766666,-73.981434307488,2015-01-08 23:35:00,"08","01","2015"
"43",29666610,"01/08/2015 11:34:55 PM","01/09/2015 12:05:20 AM","NYPD","Blocked Driveway","No Access","11220","BROOKLYN",40.6441264537509,-73.9996144327737,2015-01-08 23:34:55,"08","01","2015"
"44",29673785,"01/08/2015 11:34:09 PM","01/09/2015 12:18:49 AM","NYPD","Noise - Commercial","Loud Music/Party","10002","MANHATTAN",40.7213664846207,-73.9882391971564,2015-01-08 23:34:09,"08","01","2015"
"45",29673748,"01/08/2015 11:32:34 PM","01/09/2015 01:39:10 AM","NYPD","Illegal Parking","Double Parked Blocking Traffic","10473","BRONX",40.8152671340356,-73.8597188633405,2015-01-08 23:32:34,"08","01","2015"
"46",29669045,"01/08/2015 11:32:00 PM","01/13/2015 09:30:00 PM","DEP","Noise","Noise: Construction Before/After Hours (NM1)","11218","BROOKLYN",40.6403175316101,-73.979065254809,2015-01-08 23:32:00,"08","01","2015"
"47",29679576,"01/08/2015 11:31:38 PM","01/12/2015 12:00:00 AM","DOB","General Construction/Plumbing","Building - Vacant, Open And Unguarded","11432","QUEENS",40.7096384575618,-73.7865535256272,2015-01-08 23:31:38,"08","01","2015"
"48",29670097,"01/08/2015 11:30:29 PM","","CHALL","Opinion for the Mayor","HOUSING","","Unspecified",NA,NA,2015-01-08 23:30:29,"08","01","2015"
"49",29664474,"01/08/2015 11:30:00 PM","01/10/2015 10:00:00 AM","DEP","Sewer","Street Flooding (SJ)","10314","STATEN ISLAND",40.6080999605339,-74.1451904321155,2015-01-08 23:30:00,"08","01","2015"
"50",29666280,"01/08/2015 11:29:25 PM","01/14/2015 09:35:24 AM","DOT","Street Sign - Damaged","Stop","11433","QUEENS",40.6977084179487,-73.7858776650986,2015-01-08 23:29:25,"08","01","2015"
"51",29666452,"01/08/2015 11:28:00 PM","01/09/2015 12:30:00 AM","DOT","Traffic Signal Condition","Ped Multiple Lamps","","BROOKLYN",NA,NA,2015-01-08 23:28:00,"08","01","2015"
"52",29664511,"01/08/2015 11:28:00 PM","01/12/2015 10:30:00 PM","DEP","Noise","Noise: Jack Hammering (NC2)","10003","MANHATTAN",40.730344747755,-73.9899622816647,2015-01-08 23:28:00,"08","01","2015"
"53",29672459,"01/08/2015 11:27:00 PM","01/09/2015 09:51:00 AM","DOT","Street Light Condition","Street Light Out","11422","QUEENS",40.6353828302547,-73.7418943892996,2015-01-08 23:27:00,"08","01","2015"
"54",29671754,"01/08/2015 11:27:00 PM","01/09/2015 09:50:00 AM","DOT","Street Light Condition","Street Light Out","11434","QUEENS",40.683144079208,-73.768581725374,2015-01-08 23:27:00,"08","01","2015"
"55",29666369,"01/08/2015 11:26:28 PM","01/14/2015 05:50:36 PM","DOT","Highway Condition","Unsafe Worksite","11234","BROOKLYN",40.6015828243781,-73.900252114543,2015-01-08 23:26:28,"08","01","2015"
"56",29673851,"01/08/2015 11:25:21 PM","01/08/2015 11:31:12 PM","NYPD","Animal Abuse","No Shelter","10458","BRONX",40.8689511265165,-73.8874458767999,2015-01-08 23:25:21,"08","01","2015"
"57",29672170,"01/08/2015 11:24:00 PM","01/14/2015 12:00:00 AM","DEP","Noise","Noise: Construction Before/After Hours (NM1)","10003","MANHATTAN",40.7303800610886,-73.9863758286881,2015-01-08 23:24:00,"08","01","2015"
"58",29672476,"01/08/2015 11:23:42 PM","01/09/2015 03:27:32 AM","NYPD","Illegal Parking","Blocked Sidewalk","11214","BROOKLYN",40.6080708908217,-73.9993697399682,2015-01-08 23:23:42,"08","01","2015"
"59",29674417,"01/08/2015 11:23:28 PM","01/09/2015 01:57:55 AM","NYPD","Blocked Driveway","No Access","11223","BROOKLYN",40.5917268153877,-73.9685703234545,2015-01-08 23:23:28,"08","01","2015"
"60",29667823,"01/08/2015 11:23:00 PM","01/13/2015 12:30:00 PM","DEP","Water System","Hydrant Running (WC3)","10128","MANHATTAN",40.7813308610383,-73.9480903156067,2015-01-08 23:23:00,"08","01","2015"
"61",29672343,"01/08/2015 11:22:56 PM","01/08/2015 11:52:55 PM","NYPD","Noise - Commercial","Loud Music/Party","10024","MANHATTAN",40.784175683424,-73.9775864522688,2015-01-08 23:22:56,"08","01","2015"
"62",29670940,"01/08/2015 11:22:00 PM","01/11/2015 04:40:00 AM","DEP","Water System","Hydrant Leaking (WC1)","11249","BROOKLYN",40.7128614777519,-73.965782594152,2015-01-08 23:22:00,"08","01","2015"
"63",29670827,"01/08/2015 11:20:29 PM","01/09/2015 01:31:41 AM","NYPD","Noise - Commercial","Loud Music/Party","11211","BROOKLYN",40.708546959498,-73.9582211086119,2015-01-08 23:20:29,"08","01","2015"
"64",29673866,"01/08/2015 11:20:05 PM","01/08/2015 11:20:30 PM","DHS","Homeless Person Assistance","No Status Call","10025","MANHATTAN",40.7915111958046,-73.9722679880589,2015-01-08 23:20:05,"08","01","2015"
"65",29669384,"01/08/2015 11:20:00 PM","01/16/2015 01:00:00 AM","DEP","Noise","Noise: Construction Before/After Hours (NM1)","11101","QUEENS",40.7493563795881,-73.9403917037878,2015-01-08 23:20:00,"08","01","2015"
"66",29668303,"01/08/2015 11:19:52 PM","01/09/2015 04:26:07 AM","NYPD","Noise - Commercial","Loud Music/Party","11234","BROOKLYN",40.6258233813215,-73.9276124853185,2015-01-08 23:19:52,"08","01","2015"
"67",29662827,"01/08/2015 11:19:33 PM","01/14/2015 11:48:43 AM","DOHMH","Indoor Air Quality","Chemical Vapors/Gases/Odors","11232","BROOKLYN",40.6500540863538,-74.0159141696788,2015-01-08 23:19:33,"08","01","2015"
"68",29669350,"01/08/2015 11:19:00 PM","01/16/2015 09:30:00 AM","DEP","Water System","Leak (Use Comments) (WA2)","10009","MANHATTAN",40.7233749133044,-73.9824664955328,2015-01-08 23:19:00,"08","01","2015"
"69",29674002,"01/08/2015 11:17:12 PM","01/09/2015 07:17:38 AM","NYPD","Illegal Parking","Posted Parking Sign Violation","10308","STATEN ISLAND",40.5591617546615,-74.1438604689065,2015-01-08 23:17:12,"08","01","2015"
"70",29674001,"01/08/2015 11:16:24 PM","01/09/2015 04:03:21 AM","NYPD","Blocked Driveway","No Access","11421","QUEENS",40.6939336611832,-73.853822094669,2015-01-08 23:16:24,"08","01","2015"
"71",29674608,"01/08/2015 11:16:23 PM","02/12/2015 06:28:15 PM","TLC","Taxi Complaint","Driver Complaint","10005","MANHATTAN",40.7077552199308,-74.0117042983323,2015-01-08 23:16:23,"08","01","2015"
"72",29669027,"01/08/2015 11:15:38 PM","01/08/2015 11:28:04 PM","NYPD","Illegal Parking","Commercial Overnight Parking","11432","QUEENS",40.7086267049566,-73.7871302671088,2015-01-08 23:15:38,"08","01","2015"
"73",29667566,"01/08/2015 11:14:46 PM","01/09/2015 01:09:48 AM","NYPD","Noise - Commercial","Loud Music/Party","10002","MANHATTAN",40.7187291107868,-73.9922475567035,2015-01-08 23:14:46,"08","01","2015"
"74",29664591,"01/08/2015 11:13:00 PM","01/09/2015 07:05:00 AM","DEP","Water System","Leak (Use Comments) (WA2)","11373","QUEENS",40.7345318752744,-73.8885245003941,2015-01-08 23:13:00,"08","01","2015"
"75",29671090,"01/08/2015 11:12:02 PM","01/09/2015 01:13:01 AM","NYPD","Blocked Driveway","No Access","11210","BROOKLYN",40.6360013292321,-73.9374232074288,2015-01-08 23:12:02,"08","01","2015"
"76",29674018,"01/08/2015 11:12:00 PM","01/12/2015 12:00:00 PM","DSNY","Sanitation Condition","15 Street Cond/Dump-Out/Drop-Off","10028","MANHATTAN",40.77151239409,-73.9469029511862,2015-01-08 23:12:00,"08","01","2015"
"77",29662942,"01/08/2015 11:07:00 PM","01/09/2015 08:10:00 AM","DEP","Water Conservation","Water Meter Broken/Leaking - Private Residence (CMR)","10312","STATEN ISLAND",40.5402229344449,-74.1715518142225,2015-01-08 23:07:00,"08","01","2015"
"78",29674046,"01/08/2015 11:05:31 PM","03/10/2015 06:22:06 AM","DOHMH","Food Establishment","Toilet Facility","11206","BROOKLYN",40.6977941278936,-73.9367088558414,2015-01-08 23:05:31,"08","01","2015"
"79",29663010,"01/08/2015 11:04:16 PM","01/09/2015 03:01:36 AM","NYPD","Noise - Street/Sidewalk","Loud Talking","10003","MANHATTAN",40.7307234411192,-73.9890529796862,2015-01-08 23:04:16,"08","01","2015"
"80",29670770,"01/08/2015 11:03:55 PM","09/11/2015 09:58:34 AM","HPD","PAINT/PLASTER","WALL","11236","BROOKLYN",40.6306046533215,-73.9015453410602,2015-01-08 23:03:55,"08","01","2015"
"81",29669707,"01/08/2015 11:03:48 PM","01/09/2015 04:45:34 AM","NYPD","Blocked Driveway","Partial Access","11369","QUEENS",40.7586621493432,-73.8762258077644,2015-01-08 23:03:48,"08","01","2015"
"82",29674029,"01/08/2015 11:03:21 PM","01/09/2015 01:31:39 AM","NYPD","Illegal Parking","Commercial Overnight Parking","11368","QUEENS",40.750029914497,-73.8550488311502,2015-01-08 23:03:21,"08","01","2015"
"83",29664390,"01/08/2015 11:02:53 PM","01/09/2015 05:13:27 AM","NYPD","Illegal Parking","Commercial Overnight Parking","11204","BROOKLYN",40.6265386894366,-73.9790299494846,2015-01-08 23:02:53,"08","01","2015"
"84",29678405,"01/08/2015 11:01:02 PM","02/06/2015 12:00:00 AM","DOB","Boilers","Boiler - Defective/Inoperative/No Permit","10028","MANHATTAN",40.7772356113331,-73.9543290756709,2015-01-08 23:01:02,"08","01","2015"
"85",29662886,"01/08/2015 11:01:00 PM","01/14/2015 12:00:00 AM","DEP","Noise","Noise: Construction Equipment (NC1)","10003","MANHATTAN",40.7297762653299,-73.9868089197612,2015-01-08 23:01:00,"08","01","2015"
"86",29672234,"01/08/2015 11:01:00 PM","01/12/2015 10:00:00 AM","DEP","Water System","Leak (Use Comments) (WA2)","11207","BROOKLYN",40.6853578465343,-73.9085388091523,2015-01-08 23:01:00,"08","01","2015"
"87",29665982,"01/08/2015 11:00:00 PM","01/09/2015 01:05:00 AM","DOT","Traffic Signal Condition","Controller","","MANHATTAN",NA,NA,2015-01-08 23:00:00,"08","01","2015"
"88",29672273,"01/08/2015 10:59:10 PM","01/09/2015 12:04:17 AM","NYPD","Animal Abuse","Neglected","11216","BROOKLYN",40.6717897719857,-73.9531035076049,2015-01-08 22:59:10,"08","01","2015"
"89",29667750,"01/08/2015 10:58:44 PM","01/09/2015 12:33:37 AM","NYPD","Noise - Commercial","Loud Music/Party","10025","MANHATTAN",40.8018907702253,-73.9684241369187,2015-01-08 22:58:44,"08","01","2015"
"90",29680816,"01/08/2015 10:58:41 PM","05/22/2015 12:00:00 AM","DOB","Elevator","Elevator - Defective/Not Working","10032","MANHATTAN",40.8332778715438,-73.9430412299562,2015-01-08 22:58:41,"08","01","2015"
"91",29666008,"01/08/2015 10:57:53 PM","01/09/2015 02:09:15 AM","NYPD","Derelict Vehicle","With License Plate","11219","BROOKLYN",40.6307785487383,-73.9986561886804,2015-01-08 22:57:53,"08","01","2015"
"92",29673105,"01/08/2015 10:57:38 PM","01/24/2015 01:06:51 AM","DCA","Consumer Complaint","Damaged Vehicle","11207","BROOKLYN",40.6796511653931,-73.9047898572654,2015-01-08 22:57:38,"08","01","2015"
"93",29664844,"01/08/2015 10:57:34 PM","01/09/2015 03:44:55 AM","NYPD","Noise - Commercial","Loud Music/Party","11205","BROOKLYN",40.6949227090209,-73.953090842507,2015-01-08 22:57:34,"08","01","2015"
"94",29670886,"01/08/2015 10:57:17 PM","01/09/2015 01:24:40 PM","NYPD","Illegal Parking","Blocked Hydrant","","Unspecified",NA,NA,2015-01-08 22:57:17,"08","01","2015"
"95",29665086,"01/08/2015 10:57:00 PM","01/08/2015 10:57:12 PM","HRA","Benefit Card Replacement","Food Stamp","","Unspecified",NA,NA,2015-01-08 22:57:00,"08","01","2015"
