DATE,PRCP,SNWD,SNOW,TMAX,TMIN
20091220,0.13,10,1.8,34,21
20091221,0,7,0,36,28
20091222,0,7,0,36,23
20091223,0,5,0,30,20
20091224,0,4,0,39,24
20091225,0.24,2,0,38,33
20091226,1.48,0,0,54,37
20091227,0.33,0,0,55,40
20091228,0,0,0,43,30
20091229,0,0,0,31,16
20091230,0,0,0,32,19
20091231,0.23,0,1.5,35,29
20100101,0.03,0,0,40,33
20100102,0.02,0,0.2,34,17
20100103,0,0,0,22,17
20100104,0,0,0,30,19
20100105,0,0,0,30,20
20100106,0,0,0,34,26
20100107,0,0,0,37,30
20100108,0.05,0,0.6,33,23
20100109,0,0,0,30,18
20100110,0,0,0,28,14
20100111,0,0,0,31,21
20100112,0,0,0,35,24
20100113,0,0,0,35,24
20100114,0,0,0,42,30
20100115,0,0,0,50,35
20100116,0,0,0,49,38
20100117,0.57,0,0,46,35
20100118,0.05,0,0,50,37
20100119,0,0,0,48,40
20100120,0,0,0,41,34
20100121,0,0,0,41,31
20100122,0,0,0,44,32
20100123,0,0,0,40,28
20100124,0.02,0,0,50,32
20100125,1.25,0,0,57,49
20100126,0,0,0,49,35
20100127,0,0,0,39,31
20100128,0.09,0,1.3,42,20
20100129,0,0,0,23,16
20100130,0,0,0,20,13
20100131,0,0,0,30,14
20100201,0,0,0,35,25
20100202,0.03,0,0.8,33,27
20100203,0.06,1,0.2,39,29
20100204,0,0,0,37,28
20100205,0,0,0,36,29
20100206,0,0,0,33,20
20100207,0,0,0,34,17
20100208,0,0,0,37,23
20100209,0,0,0,42,28
20100210,1.33,2,10,34,30
20100211,0,10,0,37,28
20100212,0,8,0,37,26
20100213,0,8,0,32,24
20100214,0,8,0,39,28
20100215,0.01,7,0,40,27
20100216,0.43,6,5,33,29
20100217,0,10,0,35,26
20100218,0,8,0,40,32
20100219,0,6,0,43,35
20100220,0,4,0,44,35
20100221,0,3,0,46,33
20100222,0.03,0,0,45,29
20100223,1.2,0,0,38,35
20100224,0.42,0,0,42,36
20100225,2,0,9.4,38,27
20100226,1.17,14,11.5,33,26
20100227,0.01,21,0,38,29
20100228,0,15,0,40,33
20100301,0,11,0,48,36
20100302,0.01,7,0,47,36
20100303,0.07,4,0,41,34
20100304,0,0,0,47,35
20100305,0,0,0,49,34
20100306,0,0,0,54,32
20100307,0,0,0,57,37
20100308,0,0,0,61,41
20100309,0,0,0,61,44
20100310,0,0,0,57,44
20100311,0,0,0,53,42
20100312,0.21,0,0,43,39
20100313,3.86,0,0,46,38
20100314,0.24,0,0,50,43
20100315,0.33,0,0,46,41
20100316,0,0,0,63,41
20100317,0,0,0,66,43
20100318,0,0,0,69,50
20100319,0,0,0,72,49
20100320,0,0,0,74,54
20100321,0,0,0,64,51
20100322,1.34,0,0,57,50
20100323,0.11,0,0,53,45
20100324,0,0,0,60,43
20100325,0,0,0,62,48
20100326,0.14,0,0,52,34
20100327,0,0,0,44,29
20100328,0.34,0,0,49,36
20100329,1.58,0,0,53,48
20100330,2.45,0,0,50,41
20100331,0.01,0,0,57,45
20100401,0,0,0,70,48
20100402,0,0,0,68,48
20100403,0,0,0,67,47
20100404,0,0,0,76,47
20100405,0,0,0,75,56
20100406,0,0,0,78,58
20100407,0,0,0,92,56
20100408,0,0,0,80,64
20100409,0.3,0,0,68,44
20100410,0,0,0,62,42
20100411,0,0,0,76,52
20100412,0,0,0,67,52
20100413,0,0,0,56,47
20100414,0,0,0,67,45
20100415,0,0,0,73,50
20100416,0.31,0,0,57,46
20100417,0.01,0,0,54,46
20100418,0,0,0,57,42
20100419,0,0,0,63,46
20100420,0,0,0,70,47
20100421,0.03,0,0,69,53
20100422,0,0,0,72,51
20100423,0,0,0,68,44
20100424,0,0,0,68,46
20100425,1.6,0,0,52,46
20100426,0.69,0,0,53,48
20100427,0.05,0,0,58,41
20100428,0,0,0,56,40
20100429,0,0,0,69,45
20100430,0,0,0,78,56
20100501,0,0,0,85,64
20100502,0,0,0,88,66
20100503,1.29,0,0,80,67
20100504,0,0,0,81,62
20100505,0,0,0,80,58
20100506,0,0,0,78,59
20100507,0,0,0,73,52
20100508,0.04,0,0,76,49
20100509,0,0,0,52,44
20100510,0,0,0,61,41
20100511,0.03,0,0,56,43
20100512,0.43,0,0,48,44
20100513,0,0,0,67,43
20100514,0.04,0,0,80,55
20100515,0,0,0,73,60
20100516,0,0,0,72,54
20100517,0,0,0,74,55
20100518,1.09,0,0,62,50
20100519,0,0,0,64,50
20100520,0,0,0,79,55
20100521,0,0,0,85,61
20100522,0,0,0,74,57
20100523,0,0,0,71,58
20100524,0.03,0,0,73,60
20100525,0,0,0,82,61
20100526,0,0,0,92,65
20100527,0.06,0,0,83,55
20100528,0,0,0,70,56
20100529,0,0,0,77,61
20100530,0,0,0,84,67
20100531,0,0,0,86,69
20100601,0,0,0,85,66
20100602,0,0,0,87,67
20100603,0,0,0,87,67
20100604,0,0,0,88,72
20100605,0,0,0,88,76
20100606,0.02,0,0,89,61
20100607,0,0,0,75,57
20100608,0,0,0,75,58
20100609,0.89,0,0,68,57
20100610,0.25,0,0,74,58
20100611,0,0,0,71,58
20100612,0,0,0,79,61
20100613,0.3,0,0,78,65
20100614,0.01,0,0,79,64
20100615,0,0,0,81,64
20100616,0,0,0,75,64
20100617,0.45,0,0,74,65
20100618,0,0,0,86,60
20100619,0,0,0,81,64
20100620,0,0,0,89,71
20100621,0,0,0,87,71
20100622,0.27,0,0,87,71
20100623,0,0,0,89,71
20100624,0,0,0,92,76
20100625,0,0,0,87,71
20100626,0,0,0,89,71
20100627,0,0,0,91,71
20100628,0.01,0,0,93,76
20100629,0,0,0,91,70
20100630,0,0,0,79,62
20100701,0,0,0,77,62
20100702,0,0,0,82,61
20100703,0,0,0,89,65
20100704,0,0,0,96,73
20100705,0,0,0,99,76
20100706,0,0,0,103,81
20100707,0,0,0,100,80
20100708,0,0,0,89,77
20100709,0.02,0,0,90,75
20100710,0,0,0,83,73
20100711,0,0,0,94,71
20100712,0,0,0,94,73
20100713,0.84,0,0,83,73
20100714,0.45,0,0,79,73
20100715,0,0,0,87,72
20100716,0,0,0,93,74
20100717,0,0,0,94,76
20100718,0,0,0,94,78
20100719,0.15,0,0,92,72
20100720,0,0,0,89,74
20100721,0,0,0,93,76
20100722,0,0,0,90,74
20100723,0.7,0,0,87,73
20100724,0,0,0,97,80
20100725,0.35,0,0,93,70
20100726,0,0,0,87,68
20100727,0,0,0,91,70
20100728,0,0,0,89,74
20100729,0.09,0,0,89,74
20100730,0,0,0,85,66
20100731,0,0,0,85,66
20100801,0,0,0,80,70
20100802,0,0,0,85,69
20100803,0,0,0,86,72
20100804,0,0,0,91,75
20100805,0.02,0,0,95,77
20100806,0,0,0,90,70
20100807,0,0,0,87,68
20100808,0,0,0,89,73
20100809,0,0,0,94,74
20100810,0,0,0,92,78
20100811,0,0,0,93,76
20100812,0.09,0,0,76,68
20100813,0,0,0,82,68
20100814,0,0,0,82,65
20100815,0.16,0,0,77,67
20100816,0.11,0,0,86,69
20100817,0,0,0,91,74
20100818,0,0,0,86,72
20100819,0,0,0,91,68
20100820,0,0,0,90,73
20100821,0,0,0,85,66
20100822,1.69,0,0,80,69
20100823,1.05,0,0,70,65
20100824,0.02,0,0,70,64
20100825,1,0,0,69,64
20100826,0,0,0,82,65
20100827,0,0,0,79,61
20100828,0,0,0,83,62
20100829,0,0,0,94,67
20100830,0,0,0,92,72
20100831,0,0,0,96,76
20100901,0,0,0,96,76
20100902,0,0,0,94,78
20100903,0,0,0,85,75
20100904,0,0,0,81,64
20100905,0,0,0,78,61
20100906,0,0,0,80,60
20100907,0,0,0,89,68
20100908,0,0,0,90,66
20100909,0,0,0,70,61
20100910,0,0,0,74,61
20100911,0,0,0,79,59
20100912,0.15,0,0,67,59
20100913,0.13,0,0,77,59
20100914,0,0,0,76,60
20100915,0,0,0,72,57
20100916,0.46,0,0,72,57
20100917,0.05,0,0,71,59
20100918,0,0,0,70,58
20100919,0,0,0,81,61
20100920,0,0,0,74,59
20100921,0,0,0,74,54
20100922,0.12,0,0,87,64
20100923,0,0,0,81,66
20100924,0,0,0,85,67
20100925,0,0,0,89,67
20100926,0,0,0,72,63
20100927,1.33,0,0,72,61
20100928,0.33,0,0,73,70
20100929,0,0,0,78,63
20100930,1.1,0,0,75,69
20101001,2.46,0,0,74,59
20101002,0,0,0,66,52
20101003,0.03,0,0,64,50
20101004,0.34,0,0,55,52
20101005,0,0,0,61,53
20101006,0,0,0,64,54
20101007,0,0,0,71,53
20101008,0,0,0,73,54
20101009,0,0,0,72,54
20101010,0,0,0,69,46
20101011,1.13,0,0,75,57
20101012,0.09,0,0,69,54
20101013,0,0,0,64,48
20101014,0.61,0,0,63,50
20101015,0.02,0,0,57,49
20101016,0,0,0,58,50
20101017,0,0,0,69,48
20101018,0,0,0,60,50
20101019,0.03,0,0,59,47
20101020,0,0,0,59,47
20101021,0.01,0,0,62,49
20101022,0,0,0,53,46
20101023,0,0,0,64,44
20101024,0,0,0,68,53
20101025,0,0,0,74,54
20101026,0,0,0,72,63
20101027,0.19,0,0,75,65
20101028,0,0,0,74,56
20101029,0,0,0,57,47
20101030,0,0,0,57,42
20101031,0,0,0,58,42
20101101,0,0,0,49,37
20101102,0,0,0,50,36
20101103,0,0,0,54,41
20101104,1.09,0,0,51,47
20101105,0.05,0,0,52,45
20101106,0,0,0,51,40
20101107,0,0,0,51,36
20101108,0.04,0,0,45,40
20101109,0,0,0,54,41
20101110,0,0,0,56,46
20101111,0,0,0,56,42
20101112,0,0,0,62,45
20101113,0,0,0,64,46
20101114,0,0,0,61,46
20101115,0,0,0,57,50
20101116,0.45,0,0,59,52
20101117,0.21,0,0,60,51
20101118,0,0,0,55,45
20101119,0,0,0,48,40
20101120,0,0,0,55,41
20101121,0,0,0,48,39
20101122,0,0,0,65,45
20101123,0,0,0,61,50
20101124,0,0,0,50,41
20101125,0.06,0,0,46,39
20101126,0.16,0,0,53,38
20101127,0,0,0,42,34
20101128,0,0,0,47,34
20101129,0,0,0,48,35
20101130,0.09,0,0,57,44
20101201,1.2,0,0,60,40
20101202,0,0,0,42,34
20101203,0,0,0,40,33
20101204,0,0,0,40,32
20101205,0,0,0,35,30
20101206,0,0,0,35,30
20101207,0,0,0,36,30
20101208,0,0,0,34,27
20101209,0,0,0,30,23
20101210,0,0,0,38,22
20101211,0,0,0,46,34
20101212,1.38,0,0,56,40
20101213,0.04,0,0,49,21
20101214,0.01,0,0.1,23,19
20101215,0,0,0,27,20
20101216,0,0,0,30,23
20101217,0,0,0,36,23
20101218,0,0,0,36,28
20101219,0,0,0,37,30
20101220,0,0,0,37,25
20101221,0,0,0,38,28
20101222,0,0,0,38,28
20101223,0,0,0,35,30
20101224,0,0,0,40,29
20101225,0,0,0,32,25
20101226,1.09,0,12.2,30,21
20101227,0.52,20,7.8,28,20
20101228,0,18,0,38,24
20101229,0,16,0,37,31
20101230,0,14,0,40,28
20101231,0,13,0,45,36
20110101,0,12,0,53,40
20110102,0.01,9,0,52,35
20110103,0,6,0,36,28
20110104,0,5,0,40,30
20110105,0,4,0,39,29
20110106,0,2,0,33,26
20110107,0.19,1,1.7,33,25
20110108,0,3,0,31,23
20110109,0,2,0,32,26
20110110,0,2,0,35,24
20110111,0.25,2,3,31,23
20110112,0.61,9,6.1,31,24
20110113,0,8,0,30,18
20110114,0,7,0,30,18
20110115,0,6,0,38,23
20110116,0,5,0,37,26
20110117,0,4,0,27,19
20110118,1.27,5,1,41,24
20110119,0.07,2,0,41,35
20110120,0,1,0,35,30
20110121,0.41,6,4.2,32,18
20110122,0,6,0,24,13
20110123,0,6,0,24,11
20110124,0,6,0,24,6
20110125,0.05,6,1,37,24
20110126,1.29,4,12.3,35,30
20110127,0.77,23,6.7,36,29
20110128,0,20,0,34,28
20110129,0.01,19,0,36,29
20110130,0,18,0,39,27
20110131,0,17,0,31,22
20110201,0.17,18,1.1,30,25
20110202,0.7,17,0.5,38,27
20110203,0,16,0,34,24
20110204,0,16,0,34,23
20110205,0.21,15,0,43,31
20110206,0,15,0,45,37
20110207,0.13,13,0,45,36
20110208,0.11,11,0,41,18
20110209,0,10,0,29,15
20110210,0,10,0,29,22
20110211,0,8,0,37,19
20110212,0,8,0,40,30
20110213,0,8,0,46,28
20110214,0,7,0,58,37
20110215,0,5,0,37,25
20110216,0,4,0,48,26
